edited_name,PrimaryTrebouxiophyceae
Physconia_distorta,1
Physconia_elegantula,1
Physconia_enteroxantha,1
Physconia_grisea,1
Physconia_grumosa,1
Physconia_isidiigera,1
Physconia_kurokawae,1
Physconia_leucoleiptes,1
Physconia_muscigena,1
Physconia_perisidiosa,1
Physconia_servitii,1
Physconia_subpulverulenta,1
Physconia_thorstenii,1
Physconia_venusta,1
Rinodina_alba,1
Rinodina_albana,1
Rinodina_atrocinerea,1
Rinodina_bischoffii,1
Rinodina_cacaotina,1
Rinodina_calcarea,1
Rinodina_candidogrisea,1
Rinodina_capensis,1
Rinodina_confragosa,1
Rinodina_exigua,1
Rinodina_gallowayi,1
Rinodina_gennarii,1
Rinodina_herteliana,1
Rinodina_immersa,1
Rinodina_interpolata,1
Rinodina_jamesii,1
Rinodina_lecanorina,1
Rinodina_lepida,1
Rinodina_luridata,1
Rinodina_luridescens,1
Rinodina_milvina,1
Rinodina_mniaraea,1
Rinodina_nimisii,1
Rinodina_obnascens,1
Rinodina_oleae,1
Rinodina_olivaceobrunnea,1
Rinodina_oxydata,1
Rinodina_plana,1
Rinodina_pyrina,1
Rinodina_reagens,1
Rinodina_sophodes,1
Rinodina_teichophila,1
Rinodina_tephraspis,1
Rinodina_tunicata,1
Rinodina_turfacea,1
Rinodina_zwackhiana,1
Rinodinella_controversa,1
Rinodinella_dubyanoides,1
Tornabea_scutellifera,1
Catillaria_chalybeia,1
Catinaria_atropurpurea,1
Clauzadea_monticola,1
Calycidium_cuneatum,1
Carbonicola_anthracophila,1
Hypocenomyce_castaneocinerea,1
Carassea_connexa,1
Cladia_aggregata,1
Cladia_corallaizon,1
Cladia_deformis,1
Cladia_dumicola,1
Cladia_ferdinandii,1
Cladia_fuliginosa,1
Cladia_inflata,1
Cladia_moniliformis,1
Cladia_retipora,1
Cladia_schizopora,1
Cladia_sullivanii,1
Cladonia_acuminata,1
Cladonia_ahtii,1
Cladonia_albofuscescens,1
Cladonia_amaurocraea,1
Cladonia_anaemica,1
Cladonia_andesita,1
Cladonia_apodocarpa,1
Cladonia_arbuscula,1
Cladonia_argentea,1
Cladonia_asahinae,1
Cladonia_atlantica,1
Cladonia_bacilliformis,1
Cladonia_bahiana,1
Cladonia_beaumontii,1
Cladonia_bellidiflora,1
Cladonia_borbonica,1
Cladonia_borealis,1
Cladonia_boryi,1
Cladonia_botrytes,1
Cladonia_caespiticia,1
Cladonia_callosa,1
Cladonia_calyciformis,1
Cladonia_capitellata,1
Cladonia_cariosa,1
Cladonia_carneola,1
Cladonia_caroliniana,1
Cladonia_cartilaginea,1
Cladonia_cenotea,1
Cladonia_ceratophylla,1
Cladonia_cervicornis,1
Cladonia_chlorophaea,1
Cladonia_clathrata,1
Cladonia_coccifera,1
Cladonia_confusa,1
Cladonia_coniocraea,1
Cladonia_conista,1
Cladonia_consimilis,1
Cladonia_convoluta,1
Cladonia_corallifera,1
Cladonia_corniculata,1
Cladonia_cornuta,1
Cladonia_corsicana,1
Cladonia_corymbescens,1
Cladonia_crinita,1
Cladonia_crispata,1
Cladonia_crispatula,1
Cladonia_cristatella,1
Cladonia_cyathomorpha,1
Cladonia_cylindrica,1
Cladonia_deformis,1
Cladonia_delavayi,1
Cladonia_dendroides,1
Cladonia_densissima,1
Cladonia_didyma,1
Cladonia_digitata,1
Cladonia_dimorphoclada,1
Cladonia_divaricata,1
Cladonia_diversa,1
Cladonia_ecmocyna,1
Cladonia_elixii,1
Cladonia_evansii,1
Cladonia_farinacea,1
Cladonia_fimbriata,1
Cladonia_firma,1
Cladonia_fissidens,1
Cladonia_fleigiae,1
Cladonia_floerkeana,1
Cladonia_foliacea,1
Cladonia_fruticulosa,1
Cladonia_furcata,1
Cladonia_furfuraceoides,1
Cladonia_glauca,1
Cladonia_gracilis,1
Cladonia_grayi,1
Cladonia_hedbergii,1
Cladonia_hians,1
Cladonia_homchantarae,1
Cladonia_humilis,1
Cladonia_hypomelaena,1
Cladonia_incrassata,1
Cladonia_innominata,1
Cladonia_kurokawae,1
Cladonia_laii,1
Cladonia_latiloba,1
Cladonia_lepidophora,1
Cladonia_leporina,1
Cladonia_lopezii,1
Cladonia_luteoalba,1
Cladonia_macilenta,1
Cladonia_macilentoides,1
Cladonia_macroceras,1
Cladonia_macrophylla,1
Cladonia_macrophyllodes,1
Cladonia_magyarica,1
Cladonia_marionii,1
Cladonia_mauritiana,1
Cladonia_maxima,1
Cladonia_merochlorophaea,1
Cladonia_metacorallifera,1
Cladonia_metaminiata,1
Cladonia_minarum,1
Cladonia_miniata,1
Cladonia_mitis,1
Cladonia_multiformis,1
Cladonia_nana,1
Cladonia_nashii,1
Cladonia_neozelandica,1
Cladonia_nipponica,1
Cladonia_novochlorophaea,1
Cladonia_ochrochlora,1
Cladonia_pachycladodes,1
Cladonia_parvipes,1
Cladonia_peltastica,1
Cladonia_perforata,1
Cladonia_pertricosa,1
Cladonia_petrophila,1
Cladonia_peziziformis,1
Cladonia_phyllophora,1
Cladonia_piedadensis,1
Cladonia_pityrophylla,1
Cladonia_pleurota,1
Cladonia_pocillum,1
Cladonia_polydactyla,1
Cladonia_polyscypha,1
Cladonia_polystomata,1
Cladonia_portentosa,1
Cladonia_prancei,1
Cladonia_prostrata,1
Cladonia_pulvinata,1
Cladonia_pulvinella,1
Cladonia_pycnoclada,1
Cladonia_pyxidata,1
Cladonia_rangiferina,1
Cladonia_rangiformis,1
Cladonia_rappii,1
Cladonia_ravenelii,1
Cladonia_recticaulis,1
Cladonia_rei,1
Cladonia_rigida,1
Cladonia_robbinsii,1
Cladonia_rotundata,1
Cladonia_rudis,1
Cladonia_rugulosa,1
Cladonia_salmonea,1
Cladonia_scabriuscula,1
Cladonia_secundana,1
Cladonia_signata,1
Cladonia_sinensis,1
Cladonia_singhii,1
Cladonia_solitaria,1
Cladonia_squamosa,1
Cladonia_squamosissima,1
Cladonia_staufferi,1
Cladonia_stellaris,1
Cladonia_stenroosiae,1
Cladonia_steyermarkii,1
Cladonia_stipitata,1
Cladonia_strepsilis,1
Cladonia_stygia,1
Cladonia_subcariosa,1
Cladonia_subcervicornis,1
Cladonia_subchordalis,1
Cladonia_subconistea,1
Cladonia_subfurcata,1
Cladonia_subreticulata,1
Cladonia_subsetacea,1
Cladonia_subsquamosa,1
Cladonia_substellata,1
Cladonia_subsubulata,1
Cladonia_subtenuis,1
Cladonia_subturgida,1
Cladonia_subulata,1
Cladonia_sulcata,1
Cladonia_sulphurina,1
Cladonia_symphycarpa,1
Cladonia_symphycarpia,1
Cladonia_terrae_novae,1
Cladonia_thomsonii,1
Cladonia_trapezuntica,1
Cladonia_turgida,1
Cladonia_ustulata,1
Cladonia_vareschii,1
Cladonia_variegata,1
Cladonia_verticillaris,1
Cladonia_verticillata,1
Cladonia_vulcani,1
Cladonia_vulcanica,1
Cladonia_wainioi,1
Cladonia_weymouthii,1
Cladonia_yunnana,1
Cladonia_zopfii,1
Gymnoderma_coccocarpum,1
Heterodea_beaugleholei,1
Heterodea_muelleri,1
Metus_conglomeratus,1
Pilophorus_acicularis,1
Pilophorus_cereolus,1
Pilophorus_robustus,1
Pilophorus_strumaticus,1
Pycnothelia_papillaria,1
Ramalea_cochleata,1
Ramalinora_glaucolivida,1
Thysanothecium_scutellatum,1
Gypsoplaca_macrophylla,1
Haematomma_accolens,1
Haematomma_erythromma,1
Haematomma_flexuosum,1
Haematomma_ochroleucum,1
Haematomma_stevensiae,1
Haematomma_sulphureum,1
Adelolecia_pilati,1
Arctopeltis_thuleana,1
Bryonora_castanea,1
Carbonea_supersparsa,1
Carbonea_vitellinaria,1
Carbonea_vorticosa,1
Frutidella_caesioatra,1
Japewia_subaurifera,1
